appendix,appendix_file,chapter,chapter_title,operationalization
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,0,Position and Claim Boundary,valid/invalid claim examples to Appendix_H_Valid_and_Invalid_Transformation_Patterns.md
I,Appendix_I_Boundary_and_Confusion_Cases.md,0,Position and Claim Boundary,confusion cases to Appendix_I_Boundary_and_Confusion_Cases.md
A,Appendix_A_Core_Definitions.md,1,"Object Model: Operator Type, Operator Occurrence, and Composite Structure",definition tables to Appendix_A_Core_Definitions.md
B,Appendix_B_Formal_Notation.md,1,"Object Model: Operator Type, Operator Occurrence, and Composite Structure",formal object notation to Appendix_B_Formal_Notation.md
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,1,"Object Model: Operator Type, Operator Occurrence, and Composite Structure",edge-case catalogues to Appendix_H_Valid_and_Invalid_Transformation_Patterns.md
B,Appendix_B_Formal_Notation.md,2,"Frame, Granularity, and Relative Level",formal coordinate notation to Appendix_B_Formal_Notation.md
I,Appendix_I_Boundary_and_Confusion_Cases.md,2,"Frame, Granularity, and Relative Level",mismatch patterns to Appendix_I_Boundary_and_Confusion_Cases.md
B,Appendix_B_Formal_Notation.md,3,"Configuration, Event, Non-Event, Transition, Path, and Trajectory",formal temporal notation to Appendix_B_Formal_Notation.md
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,3,"Configuration, Event, Non-Event, Transition, Path, and Trajectory",trajectory and weighting tests to Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,4,"The Three STRATA Operations: COMPOSE, DECOMPOSE, and PROJECT_AS",valid/invalid patterns
I,Appendix_I_Boundary_and_Confusion_Cases.md,4,"The Three STRATA Operations: COMPOSE, DECOMPOSE, and PROJECT_AS",confusion decision cases
B,Appendix_B_Formal_Notation.md,5,"Origin Type, Target Function, and Transformation Context",formal notation
F,Appendix_F_PROJECT_AS_Record_Template.md,5,"Origin Type, Target Function, and Transformation Context",PROJECT_AS schema
G,Appendix_G_Admissibility_Band_Tests.md,6,The STRATA Admissibility Band,test catalogue
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,6,The STRATA Admissibility Band,valid and invalid patterns
I,Appendix_I_Boundary_and_Confusion_Cases.md,6,The STRATA Admissibility Band,boundary confusion cases
C,Appendix_C_Shared_Transformation_Record_Schema.md,7,Shared Transformation Record,full schema
D,Appendix_D_COMPOSE_Record_Template.md,7,Shared Transformation Record,COMPOSE template
E,Appendix_E_DECOMPOSE_Record_Template.md,7,Shared Transformation Record,DECOMPOSE template
F,Appendix_F_PROJECT_AS_Record_Template.md,7,Shared Transformation Record,PROJECT_AS template
N,Appendix_N_Integrated_STRATA_Audit_Template.md,7,Shared Transformation Record,integrated audit template
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,8,Foundational Non-Equivalences,pattern catalogue
I,Appendix_I_Boundary_and_Confusion_Cases.md,8,Foundational Non-Equivalences,confusion cases
K,Appendix_K_Cross_Domain_Projection_and_Analogy_Stress_Tests.md,8,Foundational Non-Equivalences,cross-domain analogy stress tests
B,Appendix_B_Formal_Notation.md,9,Temporal Order and Transition,temporal notation
D,Appendix_D_COMPOSE_Record_Template.md,9,Temporal Order and Transition,transition record template details
I,Appendix_I_Boundary_and_Confusion_Cases.md,9,Temporal Order and Transition,confusion examples
A,Appendix_A_Core_Definitions.md,10,Path,path taxonomies
D,Appendix_D_COMPOSE_Record_Template.md,10,Path,record mechanics
M,Appendix_M_Case_and_Countercase_Index.md,10,Path,case variants
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,11,Trajectory,operator-combination tests
M,Appendix_M_Case_and_Countercase_Index.md,11,Trajectory,trajectory case sets
B,Appendix_B_Formal_Notation.md,11,Trajectory,notation
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,12,Path Dependence and Sedimentation,stress tests
G,Appendix_G_Admissibility_Band_Tests.md,12,Path Dependence and Sedimentation,counterfactual forms
M,Appendix_M_Case_and_Countercase_Index.md,12,Path Dependence and Sedimentation,case index material
G,Appendix_G_Admissibility_Band_Tests.md,13,"Branches, Aborts, Delays, and Unavailable Alternatives",large counterfactual case sets
I,Appendix_I_Boundary_and_Confusion_Cases.md,13,"Branches, Aborts, Delays, and Unavailable Alternatives",confusion patterns
M,Appendix_M_Case_and_Countercase_Index.md,13,"Branches, Aborts, Delays, and Unavailable Alternatives",case index
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,14,Non-Events within Paths and Trajectories,Λ patterns
D,Appendix_D_COMPOSE_Record_Template.md,14,Non-Events within Paths and Trajectories,record template detail
I,Appendix_I_Boundary_and_Confusion_Cases.md,14,Non-Events within Paths and Trajectories,countercases
D,Appendix_D_COMPOSE_Record_Template.md,15,"COMPOSE: Selection, Formation, and Compression",full record template
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,15,"COMPOSE: Selection, Formation, and Compression",pattern catalogue
M,Appendix_M_Case_and_Countercase_Index.md,15,"COMPOSE: Selection, Formation, and Compression",case files
G,Appendix_G_Admissibility_Band_Tests.md,16,PATH Boundary Conditions,boundary tests
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,16,PATH Boundary Conditions,invalid patterns
I,Appendix_I_Boundary_and_Confusion_Cases.md,16,PATH Boundary Conditions,confusion cases
M,Appendix_M_Case_and_Countercase_Index.md,17,"PATH Cases, Countercases, and Local Audit",index
N,Appendix_N_Integrated_STRATA_Audit_Template.md,17,"PATH Cases, Countercases, and Local Audit",audit form
A,Appendix_A_Core_Definitions.md,18,The Provisionally Compressed Object,source-object types
E,Appendix_E_DECOMPOSE_Record_Template.md,18,The Provisionally Compressed Object,record details
L,Appendix_L_Non_Operator_Remainders_and_Decomposition_Limits.md,18,The Provisionally Compressed Object,non-operator remainder issues
B,Appendix_B_Formal_Notation.md,19,Granularity Change and the Logic of Decomposition,formal notation
I,Appendix_I_Boundary_and_Confusion_Cases.md,19,Granularity Change and the Logic of Decomposition,comparative examples
G,Appendix_G_Admissibility_Band_Tests.md,19,Granularity Change and the Logic of Decomposition,boundary tests
