chapter,title,contract_example,coverage_status,closure_effect,existing_evidence,audit_note
0,Position and Claim Boundary,"minimal_case: Show an otherwise plausible PMS reconstruction that silently moves from a local occurrence to a higher-level claim, then show how an explicit STRATA declaration makes the movement testable and bounded. restriction: The example must remain non-domain-specific and must not pre-empt the full operation definitions of Chapter 4.",covered,admissible_with_bounded_claim,01_blocks/01_foundations.md; later C17/C28/C40 records,Foundational illustration is prose-owned; no chapter-level Transformation Record is required.
1,"Object Model: Operator Type, Operator Occurrence, and Composite Structure","minimal_case: Contrast the Frame operator type with one concrete frame-typed occurrence, then show how several occurrences and relations can form a composite without changing the operator type. secondary_case: Show a non-event structure whose expectation frame is explicit and distinguish it from missing information.",covered,admissible_with_bounded_claim,01_blocks/01_foundations.md; C28-FRAME-01; C28-ATTR-01,Object categories and type/occurrence separation are instantiated downstream.
2,"Frame, Granularity, and Relative Level","minimal_case: 'Use one conversation as a source object and show: stable frame with finer granularity, changed frame with stable granularity, and changed relative level within an explicitly declared comparison relation.' record_output: Complete the minimal level declaration for each of the three variants.",covered,admissible_with_bounded_claim,01_blocks/01_foundations.md; all current case claim_scope coordinates,Coordinate declarations are present corpus-wide; no standalone Chapter-2 record is required.
3,"Configuration, Event, Non-Event, Transition, Path, and Trajectory","minimal_case: Construct one minimal chain from two configurations through a transition and sequence, then state the extra evidence needed before calling it a path and the further burden needed before calling it a trajectory. negative_variant: Show a temporally ordered chronology that fails to become a path.",covered,admissible_with_bounded_claim,01_blocks/01_foundations.md; C17-LINEAR-01; C17-LAMBDA-01,Foundational temporal distinctions are instantiated in PATH cases.
4,"The Three STRATA Operations: COMPOSE, DECOMPOSE, and PROJECT_AS","shared_source_family: 'Use one small source family to show three different questions: compose occurrences into a path, decompose the path into internal transitions, and project the path as a bounded frame-function in a later context.' record_requirement: Each example must include a minimal operation declaration and must make clear that the three outputs are not interchangeable.",covered,admissible_with_bounded_claim,01_blocks/01_foundations.md; all six integrated chain families,All three operations and all six required chain families are instantiated with separate occurrence Records; no fourth operation is introduced.
5,"Origin Type, Target Function, and Transformation Context",minimal_projection: Show a reconstructed trajectory retaining origin type trajectory while performing a bounded frame-function in one later configuration. required_declaration: - source object - origin type - source level - target context - target level - target function - validity scope - load-bearing source features,covered,admissible_with_bounded_claim,01_blocks/01_foundations.md; C40-P1; C40-N3; C40-X6,"Origin type, target function, and context are directly tested."
6,The STRATA Admissibility Band,"lower_boundary: A correct but finer distinction that changes no warranted reconstruction and therefore yields resolution without praxeological purchase. upper_boundary: A rhetorically powerful macro-label that remains unchanged across materially different source structures and therefore lacks traceable load. within_band: One transformation that changes a relevant praxis dimension, preserves source trace and type integrity, and has a bounded validity scope.",covered,admissible_with_bounded_claim,01_blocks/01_foundations.md; C28-OVERFINE-01; C17-MACRO-01; C40-P1,"Lower, upper, and bounded positive pressures are instantiated across cases."
7,Shared Transformation Record,minimal_record: Provide one compact shared record for an admissible transformation with all seven field families populated. negative_variant: Provide a syntactically complete record whose source trace is insufficient and show that formal completeness does not prevent failed_transformation or claim_reduction_required.,covered,admissible_with_bounded_claim,32 case YAML records; Transformation_Record.schema.json,Shared Record structure is instantiated and schema-valid.
8,Foundational Non-Equivalences,"comparison_matrix: For at least four non-equivalences, show one invalid identity claim and one admissible relational or transformational claim. mandatory_pairs: - origin type versus target function - path versus trajectory - structural analogy versus valid projection - legibility versus authority",covered,admissible_with_bounded_claim,01_blocks/01_foundations.md; C17/C28/C40 confusion and countercases,Core non-equivalences are repeatedly tested.
9,Temporal Order and Transition,minimal_case: Two configurations separated by a documented delay and non-decision; show which fields establish a transition and which remain uncertain. restriction: Do not yet compose the transitions into a path.,covered,admissible_but_provisional,C17 case corpus; C17 legacy substantive overflight,Legacy substantive overflight is complete; route confirmed. PATH retains its bounded provisional lock.
10,Path,"minimal_case: Construct a short path from three configurations, including one blocked continuation and one open residue. restriction: Do not upgrade the path to a trajectory without Chapter 11 criteria.",covered,admissible_but_provisional,C17 case corpus; C17 legacy substantive overflight,Path burden is instantiated and legacy substantive overflight is complete; route confirmed.
