case_id,operation,markdown_artifact,yaml_artifact,package_markdown_artifact,pair_status
C17-ATTR-01,COMPOSE,03_cases/markdown/C17-ATTR-01_Trajectory_or_Attractor.md,03_cases/yaml/C17-ATTR-01_Trajectory_or_Attractor.yaml,,paired
C17-BRANCH-01,COMPOSE,03_cases/markdown/C17-BRANCH-01_Branching_Path.md,03_cases/yaml/C17-BRANCH-01_Branching_Path.yaml,,paired
C17-CHRON-01,COMPOSE,03_cases/markdown/C17-CHRON-01_Chronology_Presented_as_Path.md,03_cases/yaml/C17-CHRON-01_Chronology_Presented_as_Path.yaml,,paired
C17-FALSEL-01,COMPOSE,03_cases/markdown/C17-FALSEL-01_False_Central_Non_Event.md,03_cases/yaml/C17-FALSEL-01_False_Central_Non_Event.yaml,,paired
C17-HISTORY-01,COMPOSE,03_cases/markdown/C17-HISTORY-01_Similar_End_States_Different_Histories.md,03_cases/yaml/C17-HISTORY-01_Similar_End_States_Different_Histories.yaml,,paired
C17-LAMBDA-01,COMPOSE,03_cases/markdown/C17-LAMBDA-01_Trajectory_with_Central_Non_Event.md,03_cases/yaml/C17-LAMBDA-01_Trajectory_with_Central_Non_Event.yaml,,paired
C17-LINEAR-01,COMPOSE,03_cases/markdown/C17-LINEAR-01_Simple_Linear_Path.md,03_cases/yaml/C17-LINEAR-01_Simple_Linear_Path.yaml,,paired
C17-MACRO-01,COMPOSE,03_cases/markdown/C17-MACRO-01_Macro_Label_without_Traceable_Path.md,03_cases/yaml/C17-MACRO-01_Macro_Label_without_Traceable_Path.yaml,,paired
C17-OMEGA-01,COMPOSE,03_cases/markdown/C17-OMEGA-01_Composition_through_Omitted_Asymmetry.md,03_cases/yaml/C17-OMEGA-01_Composition_through_Omitted_Asymmetry.yaml,,paired
C17-PROJ-01,COMPOSE,03_cases/markdown/C17-PROJ-01_Path_or_Projection.md,03_cases/yaml/C17-PROJ-01_Path_or_Projection.yaml,,paired
C17-RES-01,DECOMPOSE,03_cases/markdown/C17-RES-01_Path_or_Resolution_Drift.md,03_cases/yaml/C17-RES-01_Path_or_Resolution_Drift.yaml,,paired
C17-TEL-01,COMPOSE,03_cases/markdown/C17-TEL-01_Teleological_Composition.md,03_cases/yaml/C17-TEL-01_Teleological_Composition.yaml,,paired
C17-WEAKPD-01,COMPOSE,03_cases/markdown/C17-WEAKPD-01_Repeated_Pattern_with_Weak_Path_Dependence.md,03_cases/yaml/C17-WEAKPD-01_Repeated_Pattern_with_Weak_Path_Dependence.yaml,,paired
C28-FRAME-01,DECOMPOSE,03_cases/markdown/C28-FRAME-01_Frame_Typed_Occurrence.md,03_cases/yaml/C28-FRAME-01_Frame_Typed_Occurrence.yaml,,paired
C28-ATTR-01,DECOMPOSE,03_cases/markdown/C28-ATTR-01_Attractor_Typed_Occurrence.md,03_cases/yaml/C28-ATTR-01_Attractor_Typed_Occurrence.yaml,,paired
C28-ASYM-01,DECOMPOSE,03_cases/markdown/C28-ASYM-01_Distributed_Asymmetry.md,03_cases/yaml/C28-ASYM-01_Distributed_Asymmetry.yaml,,paired
C28-NONEVENT-01,DECOMPOSE,03_cases/markdown/C28-NONEVENT-01_Structured_Non_Event.md,03_cases/yaml/C28-NONEVENT-01_Structured_Non_Event.yaml,,paired
C28-TRAJECTORY-01,DECOMPOSE,03_cases/markdown/C28-TRAJECTORY-01_Admissible_Trajectory_Decomposition.md,03_cases/yaml/C28-TRAJECTORY-01_Admissible_Trajectory_Decomposition.yaml,,paired
C28-GAIN-01,DECOMPOSE,03_cases/markdown/C28-GAIN-01_Resolution_Gain.md,03_cases/yaml/C28-GAIN-01_Resolution_Gain.yaml,,paired
