appendix,appendix_file,chapter,chapter_title,migration_clause
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,0,Position and Claim Boundary,expanded valid/invalid claim examples to Appendix_H_Valid_and_Invalid_Transformation_Patterns.md
I,Appendix_I_Boundary_and_Confusion_Cases.md,0,Position and Claim Boundary,extended confusion cases to Appendix_I_Boundary_and_Confusion_Cases.md
A,Appendix_A_Core_Definitions.md,1,"Object Model: Operator Type, Operator Occurrence, and Composite Structure",expanded definition tables to Appendix_A_Core_Definitions.md
B,Appendix_B_Formal_Notation.md,1,"Object Model: Operator Type, Operator Occurrence, and Composite Structure",formal object notation to Appendix_B_Formal_Notation.md
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,1,"Object Model: Operator Type, Operator Occurrence, and Composite Structure",edge-case catalogues to Appendix_H_Valid_and_Invalid_Transformation_Patterns.md
B,Appendix_B_Formal_Notation.md,2,"Frame, Granularity, and Relative Level",formal coordinate notation to Appendix_B_Formal_Notation.md
I,Appendix_I_Boundary_and_Confusion_Cases.md,2,"Frame, Granularity, and Relative Level",extended mismatch patterns to Appendix_I_Boundary_and_Confusion_Cases.md
B,Appendix_B_Formal_Notation.md,3,"Configuration, Event, Non-Event, Transition, Path, and Trajectory",formal temporal notation to Appendix_B_Formal_Notation.md
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,3,"Configuration, Event, Non-Event, Transition, Path, and Trajectory",expanded trajectory and weighting tests to Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,4,"The Three STRATA Operations: COMPOSE, DECOMPOSE, and PROJECT_AS",expanded valid/invalid patterns to Appendix H
I,Appendix_I_Boundary_and_Confusion_Cases.md,4,"The Three STRATA Operations: COMPOSE, DECOMPOSE, and PROJECT_AS",confusion decision cases to Appendix I
B,Appendix_B_Formal_Notation.md,5,"Origin Type, Target Function, and Transformation Context",formal notation to Appendix B
F,Appendix_F_PROJECT_AS_Record_Template.md,5,"Origin Type, Target Function, and Transformation Context",expanded PROJECT_AS schema to Appendix F
G,Appendix_G_Admissibility_Band_Tests.md,6,The STRATA Admissibility Band,expanded test catalogue to Appendix G
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,6,The STRATA Admissibility Band,valid and invalid patterns to Appendix H
I,Appendix_I_Boundary_and_Confusion_Cases.md,6,The STRATA Admissibility Band,boundary confusion cases to Appendix I
C,Appendix_C_Shared_Transformation_Record_Schema.md,7,Shared Transformation Record,full schema to Appendix C
D,Appendix_D_COMPOSE_Record_Template.md,7,Shared Transformation Record,COMPOSE template to Appendix D
E,Appendix_E_DECOMPOSE_Record_Template.md,7,Shared Transformation Record,DECOMPOSE template to Appendix E
F,Appendix_F_PROJECT_AS_Record_Template.md,7,Shared Transformation Record,PROJECT_AS template to Appendix F
N,Appendix_N_Integrated_STRATA_Audit_Template.md,7,Shared Transformation Record,integrated audit template to Appendix N
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,8,Foundational Non-Equivalences,expanded pattern catalogue to Appendix H
I,Appendix_I_Boundary_and_Confusion_Cases.md,8,Foundational Non-Equivalences,confusion cases to Appendix I
K,Appendix_K_Cross_Domain_Projection_and_Analogy_Stress_Tests.md,8,Foundational Non-Equivalences,cross-domain analogy stress tests to Appendix K
B,Appendix_B_Formal_Notation.md,9,Temporal Order and Transition,extended temporal notation to Appendix B
D,Appendix_D_COMPOSE_Record_Template.md,9,Temporal Order and Transition,transition record template details to Appendix D
I,Appendix_I_Boundary_and_Confusion_Cases.md,9,Temporal Order and Transition,confusion examples to Appendix I
A,Appendix_A_Core_Definitions.md,10,Path,expanded path taxonomies to Appendix A
D,Appendix_D_COMPOSE_Record_Template.md,10,Path,record mechanics to Appendix D
M,Appendix_M_Case_and_Countercase_Index.md,10,Path,case variants to Appendix M
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,11,Trajectory,expanded operator-combination tests to Appendix J
M,Appendix_M_Case_and_Countercase_Index.md,11,Trajectory,trajectory case sets to Appendix M
