appendix,file,title,purpose,migration_clause_count,contributing_contracts,canonical_owners,formal_model_inputs,case_inputs,must_include,must_exclude,template_outputs,preflight_status
A,Appendix_A_Core_Definitions.md,Core Definitions,Consolidate canonical definitions and protected distinctions without becoming a competing definition site.,4,1 | 10 | 18 | 29,01_blocks/01_foundations.md | 04_reference/Glossary.md | 04_reference/Non_Equivalence_Index.md,07_model/Operation_Registry.yaml | 07_model/Output_Classes.yaml,,definition table | primary definition location | non-equivalences | authority boundary,new definitions | new PMS primitives | person typing | new operation,,substantive_complete_bounded_provisional
B,Appendix_B_Formal_Notation.md,Formal Notation,"Provide notation for objects, coordinates, occurrences, chains, loss, and admissibility while preserving prose precedence.",15,1 | 2 | 3 | 5 | 9 | 11 | 19 | 23 | 29 | 30 | 32 | 42 | 49 | 54 | FM-TERMINOLOGY-NOTATION,01_blocks/01_foundations.md | 05_minified/PMS_STRATA_Operation_Signatures_Minified.md | 04_reference/Transformation_Operation_Index.md,07_model/Operation_Registry.yaml | 07_model/Transformation_Record.schema.json,,typed object notation | frame/granularity/level notation | operation-occurrence notation | chain notation | loss notation | status of formulas,proof of completeness | numerical scoring | new semantics | category-theoretic claims not already defined,,substantive_bounded_provisional_completion
C,Appendix_C_Shared_Transformation_Record_Schema.md,Shared Transformation Record Schema,Explain the shared record contract and its relation to the formal schema without duplicating or overriding the schema owner.,6,7 | 47 | 48 | 49 | 51 | 52,01_blocks/01_foundations.md | 05_minified/Chapter_Contracts.md,07_model/Transformation_Record.schema.json | 07_model/PMS-STRATA.yaml,03_cases/Case_Artifact_Pairing.csv,field groups | required declarations | loss fields | route/output separation | schema-authority boundary,substantive truth automation | new fields not in schema | merged chain records,03_cases/templates/case_template.md,substantive_bounded_provisional_completion
D,Appendix_D_COMPOSE_Record_Template.md,COMPOSE Record Template,Provide a usable COMPOSE occurrence template derived from the shared schema and operation registry.,5,7 | 9 | 10 | 14 | 15,01_blocks/02_part_i_path.md | 05_minified/PMS_STRATA_Operation_Signatures_Minified.md,07_model/Operation_Registry.yaml | 07_model/Transformation_Record.schema.json,03_cases/yaml/C17-LINEAR-01_Simple_Linear_Path.yaml | 03_cases/packages/C54-CD1_COMPOSE_to_DECOMPOSE_Non_Invertibility_Chain.md,source multiplicity/order | constitutive relations | selection | composite identity | loss | no automatic target function,lossless inversion | automatic trajectory status | automatic higher authority,03_cases/templates/compose_case_template.yaml,substantive_bounded_provisional_completion
E,Appendix_E_DECOMPOSE_Record_Template.md,DECOMPOSE Record Template,Provide a usable DECOMPOSE occurrence template derived from the shared schema and operation registry.,5,7 | 18 | 20 | 22 | 23,01_blocks/03_part_ii_sub.md | 05_minified/PMS_STRATA_Operation_Signatures_Minified.md,07_model/Operation_Registry.yaml | 07_model/Transformation_Record.schema.json,03_cases/yaml/C28-TRAJECTORY-01_Admissible_Trajectory_Decomposition.yaml | 03_cases/yaml/C52-NC1_Competing_Decompositions_of_a_Compressed_Handoff_Occurrence.yaml,same reference object | resolution change | reconstructed relations | residual binding | loss | stop/non-capture,operator-type decomposition | finer-is-truer rule | hidden RETYPE | lossless inverse,03_cases/templates/decompose_case_template.yaml,substantive_bounded_provisional_completion
F,Appendix_F_PROJECT_AS_Record_Template.md,PROJECT_AS Record Template,Provide a usable PROJECT_AS occurrence template derived from the shared schema and operation registry.,7,5 | 7 | 30 | 31 | 32 | 34 | 36,01_blocks/04_part_iii_retype.md | 05_minified/PMS_STRATA_Operation_Signatures_Minified.md,07_model/Operation_Registry.yaml | 07_model/Transformation_Record.schema.json,03_cases/yaml/C40-P1_Trajectory_as_Bounded_Frame_Function.yaml | 03_cases/yaml/C38-N1_PROJECT_AS_Origin_Type_Replacement_Failure.yaml,origin type | target function | target context | counterfactual sensitivity | contextual boundedness | type integrity,origin-type replacement | label substitution | analogy as projection | authority inheritance,03_cases/templates/project_as_case_template.yaml,substantive_bounded_provisional_completion
G,Appendix_G_Admissibility_Band_Tests.md,Admissibility Band Tests,Operationalize lower/upper band tests and their non-compensatory relation without replacing local judgment.,16,6 | 12 | 13 | 16 | 19 | 25 | 27 | 30 | 33 | 39 | 43 | 44 | 45 | 46 | 51 | 53,01_blocks/01_foundations.md | 01_blocks/05_part_iv_limits.md | 05_minified/PMS_STRATA_Admissibility_Band_Minified.md,07_model/Admissibility_Rules.yaml | 07_model/Output_Classes.yaml | 07_model/Boundary_Decision_Tree.yaml,03_cases/yaml/C28-OVERFINE-01_Overfine_Analysis_below_the_Relevance_Floor.yaml | 03_cases/yaml/C17-MACRO-01_Macro_Label_without_Traceable_Path.yaml,PraxisPurchase | TraceableLoad | TypeIntegrity | continuity | counterfactual sensitivity | source/claim ceilings | stop/non-capture,numeric scoring | compensatory weighting | automatic class ranking | truth proof,,substantive_bounded_provisional_completion
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,Valid and Invalid Transformation Patterns,Collect recurring admissible and invalid patterns without creating new operations or classes.,26,0 | 1 | 4 | 6 | 8 | 15 | 16 | 20 | 25 | 26 | 27 | 29 | 30 | 34 | 37 | 38 | 39 | 41 | 42 | 44 | 45 | 46 | 47 | 48 | 50 | 56,01_blocks/01_foundations.md | 04_reference/Non_Equivalence_Index.md,07_model/Operation_Registry.yaml | 07_model/Output_Classes.yaml,03_cases/Case_Index.md | 03_cases/packages/*,positive patterns | failure patterns | claim reduction patterns | stop patterns | non-capture contrast,case ranking | universal inference from examples | new theory,03_cases/templates/countercase_template.md,substantive_bounded_provisional_completion
I,Appendix_I_Boundary_and_Confusion_Cases.md,Boundary and Confusion Cases,Consolidate load-bearing collision boundaries and confusion routes across operations and output classes.,30,0 | 2 | 4 | 6 | 8 | 9 | 13 | 14 | 16 | 19 | 23 | 24 | 26 | 29 | 31 | 32 | 35 | 36 | 37 | 38 | 41 | 42 | 43 | 44 | 45 | 46 | 47 | 50 | 51 | 52,01_blocks/01_foundations.md | 01_blocks/05_part_iv_limits.md | 04_reference/Output_Class_Index.md,07_model/Boundary_Decision_Tree.yaml | 07_model/Output_Classes.yaml,03_cases/Case_Index.md | 03_cases/markdown/*,operation collisions | output-class boundaries | same-source contrasts where available | stop versus failure versus non-capture,class hierarchy | first-match-wins | score-based routing,03_cases/templates/confusion_case_template.md,substantive_bounded_provisional_completion
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,Optional Operator-Weighting and Trajectory Stress Tests,"Provide optional stress vectors for weighting profiles, trajectories, branches, alternatives, and path dependence.",10,3 | 11 | 12 | 14 | 21 | 22 | 24 | 33 | 34 | 35,01_blocks/02_part_i_path.md | 01_blocks/04_part_iii_retype.md | 04_reference/Operator_Index.md,07_model/Operation_Registry.yaml,03_cases/markdown/C17-*.md | 03_cases/packages/C35-A1_Operator_Weighting_Profile_and_RETYPE_Type_Boundary.md,weighting as configuration profile | trajectory/path distinctions | historical alternative status | false-trajectory contrasts,new operators | renamed Δ–Ψ dependencies | formal weight scoring | historical branch invention,,substantive_bounded_provisional_completion
